datapointID,class_label,spline_coeffs,stability_index
train_00029,-1,0.00000;0.02281;0.27523;0.50048;0.60267;0.62968;0.84019;0.90355;0.92991;1.00000,0.494349491448146
train_00030,40,0.00000;0.20460;0.21976;0.24604;0.26671;0.44538;0.49744;0.70919;0.99785;1.00000,0.4736732559143605
train_00031,-1,0.00000;0.06429;0.27111;0.27273;0.46614;0.66810;0.71495;0.75242;0.92054;1.00000,0.40813903373954097
train_00032,7,0.00000;0.26871;0.27923;0.59946;0.62292;0.66440;0.67085;0.79850;0.82269;1.00000,0.6085762035644365
train_00033,8,0.00000;0.13205;0.20330;0.44943;0.46991;0.69156;0.69785;0.83549;0.83563;1.00000,0.5143324911352082
train_00034,37,0.00000;0.01648;0.02803;0.05680;0.15619;0.43470;0.66744;0.78639;0.96154;1.00000,0.35592695765462756
train_00035,41,0.00000;0.08690;0.11498;0.24179;0.28089;0.36434;0.44802;0.46325;0.80855;1.00000,0.3328081466352773
train_00036,-1,0.00000;0.02126;0.08184;0.28307;0.44736;0.48857;0.57849;0.94510;0.95634;1.00000,0.7220795546086396
train_00037,44,0.00000;0.09338;0.10805;0.21609;0.24786;0.50090;0.66812;0.91764;0.94927;1.00000,0.5245589478012731
train_00038,47,0.00000;0.07406;0.08837;0.11869;0.80311;0.85005;0.89852;0.98197;0.98712;1.00000,0.37333184520562246
train_00039,12,0.00000;0.11860;0.15345;0.16633;0.19271;0.25682;0.52434;0.84430;0.88174;1.00000,0.296968035646903
train_00040,-1,0.00000;0.24242;0.26162;0.47175;0.48977;0.62390;0.63838;0.89357;0.92938;1.00000,0.26080242034965656
train_00041,3,0.00000;0.12048;0.12816;0.66339;0.69944;0.70464;0.73433;0.84915;0.85269;1.00000,0.5446567451568259
train_00042,-1,0.00000;0.01692;0.04008;0.06648;0.22823;0.40311;0.67574;0.68057;0.85346;1.00000,0.5620705676012194
train_00043,12,0.00000;0.06930;0.23788;0.44941;0.46551;0.52585;0.61074;0.76807;0.80050;1.00000,0.6588904847361391
train_00044,3,0.00000;0.17530;0.23315;0.28961;0.33737;0.49959;0.57185;0.67712;0.95965;1.00000,0.27262692579434855
train_00045,45,0.00000;0.22458;0.30442;0.38216;0.45420;0.48321;0.61894;0.65026;0.83687;1.00000,0.4756587528638868
train_00046,21,0.00000;0.14380;0.26767;0.49546;0.55285;0.73541;0.83255;0.91917;0.95375;1.00000,0.23410188882749033
train_00047,-1,0.00000;0.00370;0.18499;0.35826;0.37465;0.54809;0.73294;0.88673;0.92557;1.00000,0.3707296251682271
train_00048,3,0.00000;0.04375;0.17797;0.45937;0.46101;0.54859;0.81654;0.88681;0.92359;1.00000,0.4733019745331568
train_00049,4,0.00000;0.17240;0.24467;0.46670;0.76308;0.76926;0.84561;0.86009;0.99919;1.00000,0.5327705462860287
train_00050,12,0.00000;0.02933;0.11986;0.24568;0.37125;0.64545;0.71305;0.93938;0.99779;1.00000,0.3404506986724616
train_00051,43,0.00000;0.00946;0.04419;0.31354;0.43172;0.47076;0.49791;0.59963;0.84236;1.00000,0.576396797820347
train_00052,-1,0.00000;0.08482;0.17850;0.19111;0.37317;0.52513;0.54816;0.59153;0.83911;1.00000,0.3852509237041438
train_00053,-1,0.00000;0.12827;0.16934;0.24215;0.51404;0.60872;0.61695;0.75171;0.81046;1.00000,0.4805857078548807
train_00054,-1,0.00000;0.48052;0.60725;0.65240;0.83271;0.89029;0.89253;0.93347;0.98458;1.00000,0.30075454368966215
train_00055,10,0.00000;0.31641;0.38805;0.45760;0.49580;0.55879;0.68309;0.74099;0.92570;1.00000,0.5600109623795091
train_00056,11,0.00000;0.02343;0.06052;0.18691;0.39855;0.82096;0.86082;0.90095;0.90573;1.00000,0.6371768654620743
train_00057,32,0.00000;0.01535;0.09417;0.14613;0.17019;0.64686;0.82613;0.94059;0.98414;1.00000,0.3709738243495835
train_00058,33,0.00000;0.04750;0.21449;0.21547;0.41232;0.48510;0.81823;0.88492;0.93452;1.00000,0.5451636947555317
train_00059,-1,0.00000;0.10013;0.18330;0.27009;0.33261;0.73852;0.75879;0.86727;0.88325;1.00000,0.2994618132857629
train_00060,9,0.00000;0.03349;0.08444;0.41716;0.48278;0.59271;0.67439;0.69686;0.81609;1.00000,0.5963526389290269
train_00061,18,0.00000;0.00131;0.04637;0.04818;0.13287;0.45390;0.72267;0.90784;0.98613;1.00000,0.4887518868941973
train_00062,45,0.00000;0.11794;0.28382;0.31349;0.58195;0.75158;0.87775;0.89220;0.96516;1.00000,0.46874165733065304
train_00063,18,0.00000;0.05377;0.11412;0.12261;0.27750;0.42922;0.73433;0.74439;0.85539;1.00000,0.4137377251484308
train_00064,1,0.00000;0.02322;0.38678;0.51637;0.53679;0.57959;0.63726;0.66154;0.69173;1.00000,0.4439880100511599
train_00065,30,0.00000;0.06541;0.40459;0.48708;0.68519;0.72587;0.76069;0.79852;0.81132;1.00000,0.5614095091713992
train_00066,17,0.00000;0.03483;0.23658;0.26813;0.30976;0.45963;0.83760;0.92652;0.93395;1.00000,0.536600018964509
train_00067,49,0.00000;0.01428;0.04533;0.10561;0.14924;0.27624;0.34025;0.43724;0.55249;1.00000,0.5071706634142552
train_00068,16,0.00000;0.09322;0.11613;0.20471;0.33422;0.67255;0.67743;0.69344;0.87164;1.00000,0.6146414617535125
train_00069,19,0.00000;0.05220;0.16322;0.26698;0.36490;0.47603;0.73291;0.90118;0.99084;1.00000,0.7016394513558353
train_00070,-1,0.00000;0.04739;0.21795;0.24941;0.36856;0.50106;0.65622;0.94289;0.94909;1.00000,0.6724336551464712
train_00071,40,0.00000;0.02069;0.10936;0.13473;0.21843;0.40726;0.43092;0.77209;0.78794;1.00000,0.549811506143248
train_00072,29,0.00000;0.24903;0.55653;0.58580;0.64443;0.79206;0.80198;0.82256;0.96318;1.00000,0.2700856475008003
train_00073,22,0.00000;0.11594;0.54736;0.57505;0.59662;0.66487;0.74839;0.86520;0.88749;1.00000,0.49111189626645413
train_00074,-1,0.00000;0.13194;0.20201;0.23014;0.55602;0.57652;0.63756;0.80951;0.86160;1.00000,0.7668141122030697
train_00075,21,0.00000;0.01663;0.13474;0.14934;0.31717;0.36722;0.52180;0.73907;0.99709;1.00000,0.4194881316226708
train_00076,42,0.00000;0.11986;0.22342;0.56999;0.59681;0.60112;0.63301;0.90353;0.90466;1.00000,0.3154588621494904
train_00077,-1,0.00000;0.07278;0.07542;0.12886;0.28709;0.29546;0.34662;0.76910;0.96502;1.00000,0.4444525951043186
train_00078,30,0.00000;0.07957;0.08306;0.68350;0.68965;0.71620;0.87018;0.87029;0.95908;1.00000,0.396928271640766
train_00079,32,0.00000;0.04848;0.16498;0.34625;0.67131;0.69002;0.73224;0.80495;0.96031;1.00000,0.33892058095464045
train_00080,12,0.00000;0.03369;0.04192;0.30983;0.35388;0.49518;0.54499;0.58343;0.82837;1.00000,0.49685546830409194
train_00081,44,0.00000;0.03311;0.07559;0.10120;0.10895;0.51420;0.53380;0.55773;0.64989;1.00000,0.3992712017235065
train_00082,0,0.00000;0.15345;0.53977;0.57854;0.58012;0.59085;0.83293;0.89734;0.92721;1.00000,0.4546334021055402
train_00083,-1,0.00000;0.15373;0.25321;0.29592;0.48640;0.54820;0.56974;0.62305;0.82057;1.00000,0.5256081526070283
train_00084,36,0.00000;0.03908;0.37971;0.43554;0.64371;0.70442;0.70623;0.85294;0.97272;1.00000,0.33369475032378615
train_00085,19,0.00000;0.09646;0.15662;0.52210;0.59007;0.66785;0.71575;0.87683;0.87824;1.00000,0.18928024699230353
train_00086,44,0.00000;0.08547;0.11020;0.11413;0.15343;0.35179;0.46245;0.77856;0.88753;1.00000,0.43164315895199756
train_00087,13,0.00000;0.31624;0.44089;0.56685;0.74592;0.76462;0.92933;0.96652;0.97139;1.00000,0.45243025030865036
train_00088,32,0.00000;0.04225;0.04385;0.13415;0.34691;0.39063;0.46248;0.78758;0.82910;1.00000,0.5401841991241133
train_00089,46,0.00000;0.00329;0.02792;0.31593;0.32934;0.35464;0.50006;0.54785;0.58719;1.00000,0.377635430149184
train_00090,46,0.00000;0.09910;0.24517;0.42690;0.49601;0.58508;0.68596;0.75806;0.81066;1.00000,0.6392520326675943
train_00091,4,0.00000;0.01129;0.15140;0.16664;0.22689;0.38717;0.53694;0.62672;0.97072;1.00000,0.3793211720037322
train_00092,8,0.00000;0.10003;0.32718;0.46063;0.46957;0.74798;0.77190;0.85412;0.97911;1.00000,0.6055847730188275
train_00093,48,0.00000;0.05796;0.21647;0.27115;0.41308;0.45675;0.74197;0.78619;0.78950;1.00000,0.2944785694089473
train_00094,-1,0.00000;0.09206;0.29593;0.29931;0.36165;0.72480;0.74434;0.76410;0.86083;1.00000,0.3682040906960702
train_00095,34,0.00000;0.00766;0.14161;0.57119;0.61283;0.73665;0.78999;0.82692;0.82717;1.00000,0.5295335929007882
train_00096,39,0.00000;0.08674;0.18701;0.53586;0.58778;0.74708;0.83170;0.95651;0.95941;1.00000,0.4704140454760759
train_00097,18,0.00000;0.24659;0.27181;0.47509;0.48364;0.60374;0.79393;0.93949;0.98363;1.00000,0.48787471826302015
train_00098,-1,0.00000;0.12235;0.16992;0.20583;0.24259;0.27308;0.45967;0.71358;0.86906;1.00000,0.3857635576110977
train_00099,20,0.00000;0.01208;0.11679;0.35998;0.36432;0.46062;0.74341;0.84292;0.95251;1.00000,0.5715870010018753
train_00100,1,0.00000;0.10208;0.19722;0.20973;0.30601;0.55191;0.57845;0.70287;0.81529;1.00000,0.3016589284472764
train_00101,26,0.00000;0.15319;0.20295;0.46209;0.47597;0.81530;0.82335;0.87839;0.94824;1.00000,0.3874674890786693
train_00102,36,0.00000;0.05403;0.18422;0.34978;0.38948;0.42670;0.49255;0.58271;0.62629;1.00000,0.31522010824679053
train_00103,24,0.00000;0.33819;0.63086;0.71990;0.81103;0.84353;0.86237;0.86440;0.90245;1.00000,0.4178949804029098
train_00104,-1,0.00000;0.02619;0.12408;0.14517;0.41365;0.45299;0.83264;0.83660;0.91699;1.00000,0.38214691239243065
train_00105,11,0.00000;0.35095;0.36597;0.44320;0.84960;0.88663;0.94816;0.94943;0.97742;1.00000,0.4991441756283548
train_00106,48,0.00000;0.08861;0.22000;0.24469;0.51987;0.62726;0.65030;0.65150;0.82884;1.00000,0.5147371197730608
train_00107,-1,0.00000;0.03223;0.10843;0.24744;0.34769;0.68811;0.77899;0.81783;0.94002;1.00000,0.47036291533890556
train_00108,44,0.00000;0.21270;0.22741;0.33614;0.39586;0.49553;0.57561;0.79325;0.91516;1.00000,0.40810362715465
train_00109,1,0.00000;0.09688;0.16647;0.39712;0.73883;0.82485;0.84811;0.88590;0.89015;1.00000,0.6625582335604555
train_00110,46,0.00000;0.12283;0.43512;0.45828;0.56906;0.59162;0.60264;0.66314;0.96374;1.00000,0.5798779981801354
train_00111,-1,0.00000;0.23026;0.31538;0.41578;0.46811;0.47776;0.85315;0.97317;0.98693;1.00000,0.4937822851840396
train_00112,22,0.00000;0.07351;0.13077;0.18239;0.34493;0.63973;0.64360;0.82238;0.85927;1.00000,0.6820200972196513
train_00113,3,0.00000;0.03040;0.13351;0.16301;0.35296;0.44491;0.53071;0.91519;0.98095;1.00000,0.4371641737668597
train_00114,16,0.00000;0.06475;0.46621;0.64567;0.66329;0.71886;0.88289;0.93995;0.99459;1.00000,0.23453929320467046
train_00115,34,0.00000;0.20843;0.43981;0.57731;0.74568;0.76060;0.92449;0.94581;0.95279;1.00000,0.49454061325045473
train_00116,32,0.00000;0.05027;0.05740;0.25054;0.38307;0.39965;0.55952;0.61050;0.72276;1.00000,0.3415605623279653
train_00117,-1,0.00000;0.13840;0.22379;0.28897;0.31188;0.41098;0.62026;0.85672;0.87477;1.00000,0.5119137571458287
train_00118,-1,0.00000;0.21249;0.25922;0.38642;0.39934;0.57126;0.71132;0.80471;0.93167;1.00000,0.5070406904015405
train_00119,36,0.00000;0.03068;0.05319;0.06628;0.27356;0.28199;0.47436;0.49736;0.66764;1.00000,0.39610316500254084
train_00120,5,0.00000;0.15041;0.21500;0.34661;0.62193;0.68264;0.72863;0.76621;0.99822;1.00000,0.3209698585965057
train_00121,5,0.00000;0.24117;0.31757;0.39082;0.58347;0.64101;0.74993;0.80860;0.97511;1.00000,0.5421452759309805
train_00122,37,0.00000;0.11385;0.13301;0.18685;0.26972;0.41243;0.49216;0.81441;0.95520;1.00000,0.24410824820267582
train_00123,12,0.00000;0.00232;0.27351;0.31151;0.54044;0.80687;0.80736;0.80742;0.82463;1.00000,0.5537328732039121
train_00124,35,0.00000;0.17725;0.41664;0.51182;0.65513;0.79100;0.89452;0.95572;0.96220;1.00000,0.46680977628213
train_00125,37,0.00000;0.02942;0.07380;0.19917;0.50744;0.64354;0.67782;0.83558;0.86506;1.00000,0.6364959909502895
train_00126,36,0.00000;0.39016;0.45725;0.63402;0.70063;0.71886;0.74805;0.76433;0.79314;1.00000,0.3754840546168532
train_00127,35,0.00000;0.03113;0.11717;0.14725;0.42927;0.46244;0.54723;0.70675;0.89278;1.00000,0.5039050750486359
train_00128,23,0.00000;0.04817;0.18207;0.27900;0.43563;0.52058;0.58504;0.68162;0.71457;1.00000,0.5223479788021812
train_00129,35,0.00000;0.00661;0.07103;0.59390;0.71783;0.73094;0.76437;0.79152;0.82766;1.00000,0.4337170273486959
train_00130,17,0.00000;0.00068;0.34123;0.34856;0.44229;0.50607;0.55782;0.63470;0.86835;1.00000,0.5328486342771112
train_00131,28,0.00000;0.24553;0.37640;0.39773;0.49266;0.50955;0.62075;0.67913;0.98622;1.00000,0.31991048428222113
train_00132,-1,0.00000;0.24930;0.38321;0.57421;0.58261;0.75130;0.84105;0.94099;0.97032;1.00000,0.3778697450065379
train_00133,-1,0.00000;0.00913;0.13072;0.18193;0.60877;0.81286;0.85306;0.91035;0.96593;1.00000,0.6233385716822225
train_00134,3,0.00000;0.32152;0.39497;0.58706;0.70082;0.74508;0.86823;0.87029;0.97712;1.00000,0.4257220878333509
train_00135,43,0.00000;0.04937;0.18593;0.27568;0.30631;0.51893;0.56171;0.58625;0.96676;1.00000,0.46735883266008954
train_00136,37,0.00000;0.11538;0.17691;0.20141;0.27615;0.51614;0.62245;0.65323;0.77141;1.00000,0.4439234390141941
train_00137,23,0.00000;0.24622;0.28523;0.34514;0.75062;0.75187;0.80755;0.87197;0.90318;1.00000,0.332282972398354
train_00138,23,0.00000;0.07100;0.20929;0.38534;0.44659;0.54772;0.58529;0.60495;0.89637;1.00000,0.28311115506830875
train_00139,26,0.00000;0.04249;0.13674;0.18274;0.29643;0.55828;0.61699;0.67803;0.93102;1.00000,0.3417990083885706
train_00140,5,0.00000;0.20077;0.22717;0.28961;0.30344;0.32417;0.41300;0.62651;0.88339;1.00000,0.2934458973766333
train_00141,6,0.00000;0.11031;0.11621;0.16653;0.40179;0.50311;0.67986;0.72759;0.73434;1.00000,0.554276404990068
train_00142,38,0.00000;0.00454;0.03664;0.03926;0.04608;0.28640;0.41625;0.50602;0.53099;1.00000,0.3429801300609868
train_00143,36,0.00000;0.13270;0.19553;0.20404;0.21136;0.44980;0.45024;0.53473;0.90154;1.00000,0.4075177467859361
train_00144,-1,0.00000;0.02222;0.06084;0.11609;0.18979;0.34991;0.64118;0.82165;0.89129;1.00000,0.3960416364377252
train_00145,27,0.00000;0.01762;0.20515;0.21064;0.28190;0.49241;0.61179;0.67053;0.74350;1.00000,0.5831159195168257
train_00146,40,0.00000;0.03774;0.24545;0.27154;0.34505;0.39965;0.72525;0.78910;0.86503;1.00000,0.3916697564042112
train_00147,4,0.00000;0.03281;0.25839;0.39761;0.45863;0.73381;0.88387;0.90738;0.94554;1.00000,0.41358345489529913
train_00148,38,0.00000;0.00585;0.16507;0.36076;0.42677;0.47120;0.54098;0.95201;0.97176;1.00000,0.4931380680713029
train_00149,2,0.00000;0.00959;0.21715;0.37023;0.55508;0.64138;0.78073;0.85040;0.96241;1.00000,0.437788633042676
train_00150,48,0.00000;0.02787;0.22691;0.33762;0.44164;0.69999;0.73812;0.75934;0.99638;1.00000,0.38063145263529985
train_00151,12,0.00000;0.09404;0.10269;0.48914;0.53698;0.70183;0.85634;0.91478;0.97624;1.00000,0.6033046145390099
train_00152,-1,0.00000;0.35114;0.49763;0.52207;0.53373;0.55643;0.71626;0.85742;0.94122;1.00000,0.5313001766809561
train_00153,1,0.00000;0.20832;0.32361;0.34971;0.37355;0.55036;0.70688;0.84679;0.89200;1.00000,0.67912766896991
train_00154,19,0.00000;0.59480;0.60576;0.72984;0.83203;0.83894;0.90367;0.92796;0.94799;1.00000,0.3575952006553596
train_00155,1,0.00000;0.00218;0.41528;0.42626;0.56905;0.76965;0.89579;0.95041;0.96337;1.00000,0.27794122330967974
train_00156,18,0.00000;0.14865;0.15230;0.25301;0.29709;0.35574;0.44808;0.56225;0.98934;1.00000,0.6084804160482964
train_00157,47,0.00000;0.05240;0.27277;0.30180;0.31363;0.45744;0.48919;0.61492;0.63010;1.00000,0.3054782462213788
train_00158,21,0.00000;0.10474;0.15922;0.15943;0.16867;0.18788;0.19975;0.60798;0.88089;1.00000,0.48669674302434607
train_00159,3,0.00000;0.01864;0.17953;0.19510;0.26802;0.66635;0.78999;0.86623;0.92142;1.00000,0.48764730099898634
train_00160,3,0.00000;0.13145;0.26956;0.43829;0.43865;0.58137;0.65236;0.69776;0.91032;1.00000,0.5316693795767263
train_00161,48,0.00000;0.13259;0.17691;0.19038;0.30727;0.37661;0.45627;0.66280;0.97048;1.00000,0.5461609479045568
train_00162,-1,0.00000;0.00749;0.36820;0.51683;0.73894;0.74977;0.75408;0.96079;0.96687;1.00000,0.5588697925114782
train_00163,40,0.00000;0.11991;0.12156;0.19580;0.41385;0.66517;0.69109;0.84156;0.97355;1.00000,0.4622173852503427
train_00164,3,0.00000;0.01096;0.37160;0.54248;0.64380;0.66911;0.84246;0.86006;0.97199;1.00000,0.273486189378333
train_00165,13,0.00000;0.12406;0.14334;0.28944;0.38619;0.50704;0.52013;0.52750;0.89929;1.00000,0.5577888036989632
train_00166,26,0.00000;0.03392;0.06232;0.33332;0.52167;0.55427;0.67082;0.84828;0.96275;1.00000,0.7979786916670143
train_00167,33,0.00000;0.13596;0.21235;0.25892;0.40480;0.44942;0.47147;0.51882;0.75390;1.00000,0.2979675571404211
train_00168,-1,0.00000;0.20034;0.26112;0.36011;0.36151;0.46176;0.63017;0.90876;0.92071;1.00000,0.23503368304170838
train_00169,-1,0.00000;0.01598;0.14864;0.38872;0.46200;0.61272;0.87164;0.89100;0.99964;1.00000,0.7081048617946747
train_00170,-1,0.00000;0.06715;0.37206;0.51587;0.52951;0.53083;0.61733;0.85068;0.93011;1.00000,0.3301276038044012
train_00171,23,0.00000;0.20486;0.25001;0.56408;0.70287;0.87270;0.91911;0.94272;0.94520;1.00000,0.48130214173958824
train_00172,4,0.00000;0.01067;0.16811;0.29148;0.47420;0.73097;0.83808;0.90013;0.98535;1.00000,0.3152081520889354
train_00173,36,0.00000;0.04266;0.15801;0.28254;0.36150;0.42937;0.80641;0.83181;0.85079;1.00000,0.3552377346285434
train_00174,16,0.00000;0.04886;0.09405;0.28296;0.33957;0.48798;0.54065;0.64990;0.86871;1.00000,0.5774202236339342
train_00175,19,0.00000;0.03963;0.13954;0.33472;0.36832;0.53537;0.71244;0.90489;0.95491;1.00000,0.39313331566222404
train_00176,24,0.00000;0.00028;0.11168;0.53212;0.59279;0.63297;0.65034;0.67303;0.79542;1.00000,0.5073348320958398
train_00177,48,0.00000;0.03612;0.05387;0.14672;0.26674;0.42344;0.58518;0.74977;0.97887;1.00000,0.5587717553532604
train_00178,6,0.00000;0.12021;0.18004;0.22869;0.24309;0.31874;0.42026;0.58891;0.81006;1.00000,0.48045287149146804
train_00179,36,0.00000;0.09999;0.34750;0.36499;0.40581;0.60059;0.64241;0.65682;0.83966;1.00000,0.515008866989731
train_00180,13,0.00000;0.00022;0.08313;0.27076;0.27971;0.48556;0.63405;0.70044;0.98392;1.00000,0.4790816744245294
train_00181,-1,0.00000;0.06179;0.06907;0.16990;0.20661;0.48824;0.64883;0.71879;0.76919;1.00000,0.3636985235918399
train_00182,5,0.00000;0.28957;0.49174;0.58669;0.61299;0.88560;0.88623;0.93147;0.94154;1.00000,0.3644958741413127
train_00183,33,0.00000;0.09092;0.17200;0.20030;0.51092;0.54410;0.67940;0.81760;0.83649;1.00000,0.6015795502348893
train_00184,19,0.00000;0.06308;0.21058;0.27576;0.31191;0.46820;0.60359;0.70389;0.98288;1.00000,0.5120582573037445
train_00185,23,0.00000;0.03423;0.24096;0.37183;0.39591;0.41830;0.74685;0.81985;0.99241;1.00000,0.6189626733236802
train_00186,48,0.00000;0.17030;0.26191;0.33884;0.35502;0.41036;0.53382;0.73694;0.81374;1.00000,0.4368520107040476
train_00187,-1,0.00000;0.14063;0.16956;0.23288;0.36684;0.41142;0.71629;0.71822;0.94026;1.00000,0.5839645333622339
train_00188,34,0.00000;0.12375;0.17048;0.55841;0.65652;0.80055;0.80200;0.90336;0.93474;1.00000,0.6228119114409291
train_00189,42,0.00000;0.17380;0.27122;0.27210;0.35125;0.40652;0.41388;0.52300;0.75092;1.00000,0.4641099649139482
train_00190,-1,0.00000;0.06489;0.06735;0.28785;0.33471;0.43827;0.46770;0.75008;0.88561;1.00000,0.5356547137600866
train_00191,10,0.00000;0.23125;0.25787;0.39578;0.43625;0.61063;0.71917;0.93446;0.96120;1.00000,0.29116309592873535
train_00192,26,0.00000;0.03830;0.11738;0.26659;0.50465;0.58654;0.67255;0.86342;0.96460;1.00000,0.32543601468137845
train_00193,-1,0.00000;0.15364;0.18977;0.31975;0.48183;0.64517;0.71169;0.86868;0.89187;1.00000,0.6925899926066014
train_00194,-1,0.00000;0.04199;0.22110;0.25704;0.26597;0.40550;0.54581;0.69245;0.70161;1.00000,0.5954755017145499
train_00195,29,0.00000;0.18632;0.31320;0.35389;0.52299;0.57743;0.74186;0.74567;0.93091;1.00000,0.2847935246650988
train_00196,28,0.00000;0.27778;0.34347;0.38824;0.41138;0.48105;0.61454;0.62845;0.93088;1.00000,0.4443174836365733
train_00197,49,0.00000;0.02848;0.17076;0.24850;0.38062;0.38557;0.66039;0.73724;0.82140;1.00000,0.691086043794636
train_00198,-1,0.00000;0.05428;0.12866;0.26703;0.29472;0.31761;0.32868;0.38079;0.80421;1.00000,0.32618309061929684
train_00199,-1,0.00000;0.14659;0.27298;0.29263;0.31322;0.39954;0.54058;0.55079;0.76850;1.00000,0.4911263254219532
train_00200,46,0.00000;0.07231;0.15367;0.21279;0.39456;0.43864;0.75034;0.87052;0.88039;1.00000,0.49902748003201164
train_00201,16,0.00000;0.24977;0.30679;0.37961;0.53583;0.53945;0.61145;0.90960;0.96412;1.00000,0.5444069716376845
train_00202,20,0.00000;0.03884;0.16390;0.28764;0.29224;0.31702;0.64850;0.85268;0.85713;1.00000,0.5111699124350357
train_00203,36,0.00000;0.09690;0.15387;0.40779;0.41146;0.50078;0.73948;0.83206;0.94037;1.00000,0.24656744434850086
train_00204,25,0.00000;0.10186;0.11988;0.51766;0.58495;0.78718;0.82583;0.86572;0.96577;1.00000,0.6737048283849847
train_00205,35,0.00000;0.12101;0.13086;0.20893;0.39265;0.44562;0.47589;0.48510;0.62970;1.00000,0.3449870371414906
train_00206,38,0.00000;0.07338;0.07423;0.20926;0.36974;0.41105;0.67974;0.70302;0.94114;1.00000,0.4575232724762152
train_00207,22,0.00000;0.01733;0.16624;0.25317;0.48550;0.51817;0.61306;0.71445;0.94035;1.00000,0.4676648002824452
train_00208,16,0.00000;0.02118;0.06903;0.09823;0.14862;0.24279;0.44175;0.57245;0.83119;1.00000,0.4283201709451475
train_00209,9,0.00000;0.01591;0.07247;0.19060;0.20816;0.28850;0.54108;0.77100;0.88355;1.00000,0.5294627643099563
train_00210,37,0.00000;0.13520;0.17145;0.20095;0.21883;0.38730;0.63182;0.63639;0.87356;1.00000,0.5510289716753208
