"id","source","country_or_region","year","round","task_name","domain","ceoai_tags","ioai_tags","local_path","source_url","download_status","license","priority","notes"
"ioai_2025_gaite_word_segmentation","IOAI official GitHub","Global IOAI","2025","GAITE","Combinatorial Word Segmentation","NLP","CEOAI 4(a); CEOAI 4(b)","NLP; tokenization","raw/IOAI-2025-sparse/GAITE-Contest/Word_Segmentation","https://github.com/IOAI-official/IOAI-2025/tree/main/GAITE-Contest/Word_Segmentation","downloaded_sparse","CC-BY-4.0","medium","Simpler NLP/tokenization task; useful warm-up."
"ioai_2025_gaite_speech_detector","IOAI official GitHub","Global IOAI","2025","GAITE","Synthetic Speech Detector","audio","not_ceoai","Audio","raw/IOAI-2025-sparse/GAITE-Contest/Synthetic_Speech_Detector","https://github.com/IOAI-official/IOAI-2025/tree/main/GAITE-Contest/Synthetic_Speech_Detector","downloaded_sparse","CC-BY-4.0","low","IOAI-only audio; keep indexed but do not prioritize for CEOAI."
"ioai_2024_repo","IOAI official GitHub","Global IOAI","2024","all","IOAI 2024 repository","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/IOAI-2024-sparse","https://github.com/IOAI-official/IOAI-2024","downloaded_sparse","CC-BY-4.0","high","Sparse clone includes on-site notebooks."
"ioai_2024_at_home_zip","IOAI official resources","Global IOAI","2024","at-home","At-home problem statements zip","mixed","CEOAI 2; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/ioai-2024-official-zips/At-home-problems.zip","https://ioai-official.org/wp-content/uploads/2025/06/At-home-problems.zip","downloaded_zip","unknown","high","Official direct zip from IOAI resources."
"ioai_2024_at_home_solutions_zip","IOAI official resources","Global IOAI","2024","at-home","At-home best solutions zip","mixed","CEOAI 2; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/ioai-2024-official-zips/Best-solutions-at-home-problems.zip","https://ioai-official.org/wp-content/uploads/2025/06/Best-solutions-at-home-problems.zip","downloaded_zip","unknown","medium","Use after attempting the tasks."
"ioai_2024_onsite_zip","IOAI official resources","Global IOAI","2024","on-site","On-site problem statements zip","mixed","CEOAI 2; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/ioai-2024-official-zips/On-site-problems.zip","https://ioai-official.org/wp-content/uploads/2025/06/On-site-problems.zip","downloaded_zip","unknown","high","Official direct zip from IOAI resources."
"ioai_2024_onsite_solutions_zip","IOAI official resources","Global IOAI","2024","on-site","On-site best solutions zip","mixed","CEOAI 2; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/ioai-2024-official-zips/Best-solutions-onsite.zip","https://ioai-official.org/wp-content/uploads/2025/06/Best-solutions-onsite.zip","downloaded_zip","unknown","medium","Use after attempting the tasks."
"ioai_2024_practical_zip","IOAI official resources","Global IOAI","2024","practical","Practical round problem zip","generative media","CEOAI 3(d); CEOAI 5(c)","generative AI","raw/ioai-2024-official-zips/Practical-Round-problems.zip","https://ioai-official.org/wp-content/uploads/2025/06/Practical-Round-problems.zip","downloaded_zip","unknown","low","Team/generative-media task; lower CEOAI priority."
"ioai_2024_practical_solutions_zip","IOAI official resources","Global IOAI","2024","practical","Practical round best solutions zip","generative media","CEOAI 3(d); CEOAI 5(c)","generative AI","raw/ioai-2024-official-zips/Practical-round-best-solutions.zip","https://ioai-official.org/wp-content/uploads/2025/06/Practical-round-best-solutions.zip","downloaded_zip","unknown","low","Reference only."
"ioai_2024_help_bobai","IOAI official GitHub","Global IOAI","2024","on-site","Help BOBAI","ML; feature engineering","CEOAI 2(a); CEOAI 2(d)","ML","raw/IOAI-2024-sparse/On-Site-Round/Help_BOBAI/Help_BOBAI.ipynb","https://github.com/IOAI-official/IOAI-2024/tree/main/On-Site-Round/Help_BOBAI","downloaded_sparse","CC-BY-4.0","very_high","Closest official-style tabular/feature task."
"ioai_2024_lost_hyperspace","IOAI official GitHub","Global IOAI","2024","on-site","Lost in Hyperspace","NLP","CEOAI 4(a); CEOAI 4(b); CEOAI 4(c)","NLP","raw/IOAI-2024-sparse/On-Site-Round/Lost_in_Hyperspace/Lost_in_Hyperspace.ipynb","https://github.com/IOAI-official/IOAI-2024/tree/main/On-Site-Round/Lost_in_Hyperspace","downloaded_sparse","CC-BY-4.0","high","NLP adaptation/classification style."
"ioai_2024_madarian_cow","IOAI official GitHub","Global IOAI","2024","on-site","Madarian Cow","CV; generative","CEOAI 5(c); CEOAI 3(d)","CV; diffusion","raw/IOAI-2024-sparse/On-Site-Round/Madarian_Cow/Madarian_Cow.ipynb","https://github.com/IOAI-official/IOAI-2024/tree/main/On-Site-Round/Madarian_Cow","downloaded_sparse","CC-BY-4.0","medium","Generative CV; useful for recognition, not first sprint."
"neoai_2025_repo","open-cu GitHub","Northern Eurasia","2025","main","NEOAI 2025 repository","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/neoai-2025-sparse","https://github.com/open-cu/neoai-2025","downloaded_sparse","unknown","high","Sparse clone with markdown/notebooks/code where present."
"neoai_evading_ai_text","awesome-ioai-tasks","Northern Eurasia","2025","main","Evading AI-Generated Text Detection","NLP","CEOAI 4(c); CEOAI 4(b)","NLP","raw/neoai-2025-sparse","https://github.com/open-cu/neoai-2025/tree/main/3_Evading_AI_Generated_Text_Detection","downloaded_sparse","unknown","medium","NLP adversarial/detection task."
"neoai_broken_bert","awesome-ioai-tasks","Northern Eurasia","2025","main","Broken BERT","NLP; embeddings","CEOAI 4(b); CEOAI 4(c); CEOAI 3(c)","NLP; BERT","raw/neoai-2025-sparse","https://github.com/open-cu/neoai-2025/tree/main/5_Broken_BERT","downloaded_sparse","unknown","high","Good BERT/embedding debugging practice."
"neoai_cluster_pictures","awesome-ioai-tasks","Northern Eurasia","2025","main","Cluster Pictures","CV; clustering","CEOAI 2(b); CEOAI 5(a)","CV; clustering","indexed_only","https://www.kaggle.com/competitions/neoai-2025-cluster-pictures","indexed_only","Kaggle","high","Login-gated Kaggle; strong CEOAI clustering/CV sample."
"neoai_cuties_segmentation","awesome-ioai-tasks","Northern Eurasia","2025","main","Cuties Segmentation","CV; segmentation","CEOAI 5(a); CEOAI 5(c); CEOAI 3(c)","CV; segmentation","raw/neoai-2025-sparse","https://github.com/open-cu/neoai-2025/tree/main/8_Cuties_Segmentation","downloaded_sparse","unknown","medium","Segmentation is IOAI/core CV; CEOAI list mentions related CV architectures."
"neoai_hogspell","awesome-ioai-tasks","Northern Eurasia","2025","main","Hogspell Challenge","generative CV","CEOAI 3(d); CEOAI 5(c)","diffusion","indexed_only","https://github.com/lenjjiv/steering-hogs","indexed_only","unknown","low","Generative diffusion steering; defer."
"neoai_tricy_table","awesome-ioai-tasks","Northern Eurasia","2025","main","Tricy Table","tabular ML","CEOAI 2(a); CEOAI 2(d)","ML","indexed_only","https://www.kaggle.com/competitions/neoai-2025-tricy-table-data","indexed_only","Kaggle","very_high","Likely excellent tabular feature-engineering practice."
"neoai_underfitting_cv","awesome-ioai-tasks","Northern Eurasia","2025","main","Underfitting CV","CV; DL","CEOAI 3(b); CEOAI 5(b)","CV; optimization","indexed_only","https://www.kaggle.com/competitions/neoai-2025-underfitting-cv","indexed_only","Kaggle","high","Good optimizer/regularization/CV debugging task."
"neoai_intent_slot","awesome-ioai-tasks","Northern Eurasia","2025","main","Intent Detection and Slot Filling","NLP","CEOAI 4(a); CEOAI 4(b); CEOAI 4(c)","NLP","indexed_only","https://www.kaggle.com/competitions/neoai-2025-intent-detection-and-slot-filling","indexed_only","Kaggle","high","Useful NLP classification/sequence-labeling sample."
"aicc_index","AI Community Contest","international community","2025-2026","monthly","AICC contest list","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; CV; NLP; audio","indexed_only","https://ioai-community-contest.netlify.app/contests","indexed_only","various","medium","Monthly IOAI-style practice; filter out audio for CEOAI."
"benin_2025_binary_classification","IOAI resources / Kaggle","Benin","2025","selection","National AI Olympiad binary classification","ML","CEOAI 2(a)","ML","indexed_only","https://www.kaggle.com/competitions/benin-national-ai-olympiad-selection","indexed_only","Kaggle","medium","Simple binary-classification practice."
"china_2024_basketball","awesome-ioai-tasks","China","2024","NOAI","Basketball Shooting","tabular ML","CEOAI 2(a); CEOAI 2(d)","ML","raw/malaysia-china-ioai-tsp-2025-sparse","https://github.com/jaredliw/ioai-tsp-2025/tree/main/noai-china-2024/basketball-shooting","downloaded_sparse","unknown","high","Tabular prediction; very CEOAI-relevant."
"china_2024_news_text","awesome-ioai-tasks","China","2024","NOAI","News Text Classification","NLP","CEOAI 4(a); CEOAI 4(b)","NLP","raw/malaysia-china-ioai-tsp-2025-sparse","https://github.com/jaredliw/ioai-tsp-2025/tree/main/noai-china-2024/news-text-classification","downloaded_sparse","unknown","high","Text-classification task."
"china_2024_pendulum","awesome-ioai-tasks","China","2024","NOAI","Pendulum Motion","time series","CEOAI 2(a); CEOAI 3(c)","time series","raw/malaysia-china-ioai-tsp-2025-sparse","https://github.com/jaredliw/ioai-tsp-2025/tree/main/noai-china-2024/pendulum-motion","downloaded_sparse","unknown","medium","Missing-data/time-series modeling."
"china_2024_real_fake_image","awesome-ioai-tasks","China","2024","NOAI","Real or Fake Image","CV","CEOAI 5(a); CEOAI 5(b); CEOAI 3(c)","CV","raw/malaysia-china-ioai-tsp-2025-sparse","https://github.com/jaredliw/ioai-tsp-2025/tree/main/noai-china-2024/real-or-fake-image","downloaded_sparse","unknown","high","Generated-image detection; good CV classifier task."
"georgia_2025_classic_ml","awesome-ioai-tasks","Georgia","2025","selection","Classic ML multi-class from binary models","ML","CEOAI 2(a); CEOAI 2(c)","ML","indexed_only","https://www.bohrium.com/competitions/3072370612?tab=introduce","indexed_only","Bohrium","high","Login/platform source; strong model-combination sample."
"georgia_2025_dedup_bert","awesome-ioai-tasks","Georgia","2025","selection","BERT deduplication","NLP","CEOAI 4(b); CEOAI 4(c)","NLP; BERT","indexed_only","https://www.bohrium.com/competitions/7927749324?tab=introduce","indexed_only","Bohrium","high","Sentence-pair classification with BERT."
"georgia_2025_caption_images","awesome-ioai-tasks","Georgia","2025","selection","Classify images from generated captions","CV; NLP","CEOAI 4(c); CEOAI 5(c)","multimodal","indexed_only","https://www.bohrium.com/competitions/6576265377?tab=introduce","indexed_only","Bohrium","medium","Multimodal routing task."
"india_2025_selection","awesome-ioai-tasks","India","2025","selection","INAIO Stage 1/2","mixed","CEOAI 2; CEOAI 3","AI fundamentals; ML coding","indexed_only","https://www.acmindia.org/education/india-ai-olympiad","indexed_only","unknown","medium","Theory + Python ML coding; no direct tasks found."
"japan_2025_multimodal_gas","awesome-ioai-tasks","Japan","2025","selection","Gas classification from sensors/images/text","multimodal","CEOAI 2(a); CEOAI 4; CEOAI 5","multimodal","indexed_only","https://www.kaggle.com/competitions/joai-2025-competition/overview","indexed_only","Kaggle","medium","Multimodal ensemble sample; useful after basics."
"japan_2026_time_series","awesome-ioai-tasks","Japan","2026","selection","Lever position from brain activity","time series regression","CEOAI 2(a); CEOAI 3(c)","time series","indexed_only","https://www.kaggle.com/competitions/joai-competition-2026","indexed_only","Kaggle","medium","Advanced time-series regression."
"kazakhstan_day1_image_restoration","Kazakhstan TST GitHub","Kazakhstan","2025","team selection","Image Restoration","CV","CEOAI 5(a); CEOAI 5(b); CEOAI 3(c)","CV","raw/kazakhstan-tst-day1","https://github.com/batyrq/IOAI-TST-solution-day1","downloaded_full","unknown","high","Small public repo with notebook/readme."
"kazakhstan_day2_player_clustering","Kazakhstan TST GitHub","Kazakhstan","2025","team selection","Player Clustering","ML; clustering","CEOAI 2(b); CEOAI 2(d)","ML","raw/kazakhstan-tst-day2","https://github.com/batyrq/IOAI-TST-solution-day2","downloaded_full","unknown","very_high","Very direct CEOAI clustering practice."
"kazakhstan_day3_code_difficulty","Kazakhstan TST GitHub","Kazakhstan","2025","team selection","Code Difficulty Classification","NLP","CEOAI 4(a); CEOAI 4(b)","NLP","raw/kazakhstan-tst-day3","https://github.com/batyrq/IOAI-TST-solution-day3","downloaded_full","unknown","high","Text/code classification."
"kazakhstan_day4_masked_word","Kazakhstan TST GitHub","Kazakhstan","2025","team selection","Masked Word Position","NLP","CEOAI 4(a); CEOAI 4(b); CEOAI 4(c)","NLP","raw/kazakhstan-tst-day4","https://github.com/batyrq/IOAI-TST-solution-day4","downloaded_full","unknown","high","Masked-word/reasoning NLP task."
"malaysia_ioai_tsp","Malaysia/China TSP GitHub","Malaysia","2025","training","IOAI Training and Selection Programme labs","ML; CV; multimodal","CEOAI 2; CEOAI 3; CEOAI 5","ML; CV; multimodal","raw/malaysia-china-ioai-tsp-2025-sparse","https://github.com/jaredliw/ioai-tsp-2025","downloaded_sparse","unknown","medium","Training labs: useful, but less competition-like than task repos."
"poland_2024_repo","Polish AI Olympiad GitHub","Poland","2024","all","1st Polish AI Olympiad repository","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/polish-oai-2024-sparse","https://github.com/OlimpiadaAI/I-OlimpiadaAI","downloaded_sparse","unknown","very_high","Notebook tasks and validation scripts."
"poland_2024_adversarial_attacks","Polish AI Olympiad GitHub","Poland","2024","stage 1","Adversarial Attacks","CV; DL","CEOAI 3(b); CEOAI 5(b)","CV","raw/polish-oai-2024-sparse/first_stage/adversarial_attacks","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/adversarial_attacks","downloaded_sparse","unknown","high","CNN adversarial attack practice."
"poland_2024_imbalanced_classification","Polish AI Olympiad GitHub","Poland","2024","stage 1","Imbalanced Classification","ML","CEOAI 2(a); CEOAI 2(c)","ML","raw/polish-oai-2024-sparse/first_stage/imbalanced_classification","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/imbalanced_classification","downloaded_sparse","unknown","very_high","Good classical ML metric/imbalance practice."
"poland_2024_dependency_parsing","Polish AI Olympiad GitHub","Poland","2024","stage 1","Dependency Parsing","NLP","CEOAI 4(b); CEOAI 4(c)","NLP; BERT","raw/polish-oai-2024-sparse/first_stage/dependency_parsing","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/dependency_parsing","downloaded_sparse","unknown","medium","Transformer/NLP parsing; harder language-specific task."
"poland_2024_color_quantization","Polish AI Olympiad GitHub","Poland","2024","stage 1","Color Quantization","CV; clustering","CEOAI 2(b); CEOAI 5(a)","CV","raw/polish-oai-2024-sparse/first_stage/color_quantization","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/color_quantization","downloaded_sparse","unknown","high","K-means/quantization visual clustering."
"poland_2024_object_tracking","Polish AI Olympiad GitHub","Poland","2024","stage 1","Object Tracking","CV","CEOAI 5(a); CEOAI 5(c)","CV","raw/polish-oai-2024-sparse/first_stage/object_tracking","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/object_tracking","downloaded_sparse","unknown","medium","CV sequence/tracking; useful but larger."
"poland_2024_pruning","Polish AI Olympiad GitHub","Poland","2024","stage 1","Pruning","DL optimization","CEOAI 3(b); CEOAI 3(c)","DL","raw/polish-oai-2024-sparse/first_stage/pruning","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/pruning","downloaded_sparse","unknown","high","Model compression/weights task; good DL architecture/optimization recognition."
"poland_2024_riddles","Polish AI Olympiad GitHub","Poland","2024","stage 1","Riddles","NLP","CEOAI 4(c)","NLP","raw/polish-oai-2024-sparse/first_stage/riddles","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/first_stage/riddles","downloaded_sparse","unknown","medium","Reading-comprehension style NLP."
"poland_2024_ciphers","Polish AI Olympiad GitHub","Poland","2024","final","Ciphers","NLP; ML","CEOAI 4(a); CEOAI 4(b)","NLP","raw/polish-oai-2024-sparse/final_stage/ciphers","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/final_stage/ciphers","downloaded_sparse","unknown","high","ML approach to cipher/language task."
"poland_2024_anomaly_detection","Polish AI Olympiad GitHub","Poland","2024","final","Anomaly Detection","CV; OOD","CEOAI 5(a); CEOAI 3(c)","CV","raw/polish-oai-2024-sparse/final_stage/anomaly_detection","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/final_stage/anomaly_detection","downloaded_sparse","unknown","high","OOD detection in images."
"poland_2024_self_supervised_time_series","Polish AI Olympiad GitHub","Poland","2024","final","Self-supervised Learning","time series; DL","CEOAI 3(c); CEOAI 2(a)","DL; time series","raw/polish-oai-2024-sparse/final_stage/self_supervised_learning","https://github.com/OlimpiadaAI/I-OlimpiadaAI/tree/main/final_stage/self_supervised_learning","downloaded_sparse","unknown","medium","Advanced DL/time-series task."
"poland_2025_repo","Polish AI Olympiad GitHub","Poland","2025","all","2nd Polish AI Olympiad repository","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV","raw/polish-oai-2025-sparse","https://github.com/OlimpiadaAI/II-OlimpiadaAI","downloaded_sparse","unknown","very_high","Notebook tasks and environments."
"poland_2025_coin_counting","Polish AI Olympiad GitHub","Poland","2025","stage 1","Coin Counting Machine","CV","CEOAI 5(a); CEOAI 5(b)","CV","raw/polish-oai-2025-sparse/1_etap/1_maszynka_do_liczenia_monet","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/1_etap/1_maszynka_do_liczenia_monet","downloaded_sparse","unknown","very_high","Direct CV detection/counting sample."
"poland_2025_hallucination","Polish AI Olympiad GitHub","Poland","2025","stage 1","Hallucination Detection","NLP; LLM","CEOAI 4(b); CEOAI 4(c)","NLP; LLM","raw/polish-oai-2025-sparse/1_etap/2_wykrywanie_halucynacji","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/1_etap/2_wykrywanie_halucynacji","downloaded_sparse","unknown","very_high","Very relevant NLP classification/detection sample."
"poland_2025_ecg_anomaly","Polish AI Olympiad GitHub","Poland","2025","stage 1","ECG Signal Disorder Detection","time series; anomaly","CEOAI 2(a); CEOAI 3(c)","time series","raw/polish-oai-2025-sparse/1_etap/3_wykrywanie_zaburzen_sygnalu_ekg","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/1_etap/3_wykrywanie_zaburzen_sygnalu_ekg","downloaded_sparse","unknown","medium","Time-series anomaly detection."
"poland_2025_noisy_labels","Polish AI Olympiad GitHub","Poland","2025","stage 1","Noisy Labels","ML; DL","CEOAI 2(a); CEOAI 3(b)","ML","raw/polish-oai-2025-sparse/1_etap/4_szum_w_etykietach_danych","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/1_etap/4_szum_w_etykietach_danych","downloaded_sparse","unknown","high","Robust training / validation under label noise."
"poland_2025_hidden_substrings","Polish AI Olympiad GitHub","Poland","2025","stage 1","Hidden Substrings","sequence modeling","CEOAI 2(a); CEOAI 3(c); CEOAI 4(a)","sequence","raw/polish-oai-2025-sparse/1_etap/5_ukryte_podciagi","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/1_etap/5_ukryte_podciagi","downloaded_sparse","unknown","medium","Sequence-pattern task."
"poland_2025_non_normal_distribution","Polish AI Olympiad GitHub","Poland","2025","stage 2","Non-normal Distribution","CV; denoising","CEOAI 5(a); CEOAI 3(c)","CV","raw/polish-oai-2025-sparse/2_etap/rozklad_nienormalny","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/2_etap/rozklad_nienormalny","downloaded_sparse","unknown","high","Noise/reconstruction CV task."
"poland_2025_borrowing","Polish AI Olympiad GitHub","Poland","2025","stage 2","Borrowing","ML; explainability","CEOAI 2(a); CEOAI 2(d)","ML","raw/polish-oai-2025-sparse/2_etap/kredytobranie","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/2_etap/kredytobranie","downloaded_sparse","unknown","high","Credit-classifier explanation task."
"poland_2025_source_extraction","Polish AI Olympiad GitHub","Poland","2025","stage 2","Source Extraction","NLP; embeddings","CEOAI 4(b); CEOAI 4(c)","NLP; embeddings","raw/polish-oai-2025-sparse/2_etap/ekstrakcja_zrodel","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/2_etap/ekstrakcja_zrodel","downloaded_sparse","unknown","high","Embedding/retrieval task; strong CEOAI NLP sample."
"poland_2025_inpainting","Polish AI Olympiad GitHub","Poland","2025","final","Inpainting","CV; generative","CEOAI 3(d); CEOAI 5(c)","CV; generative","raw/polish-oai-2025-sparse/3_etap/1_inpainting","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/3_etap/1_inpainting","downloaded_sparse","unknown","medium","Advanced image generation/reconstruction."
"poland_2025_unlearning","Polish AI Olympiad GitHub","Poland","2025","final","Unlearning","DL","CEOAI 3(b); CEOAI 3(c)","DL","raw/polish-oai-2025-sparse/3_etap/2_oduczanie","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/3_etap/2_oduczanie","downloaded_sparse","unknown","medium","Advanced model-editing task."
"poland_2025_translation_style","Polish AI Olympiad GitHub","Poland","2025","final","Translation Styling","NLP","CEOAI 4(c); CEOAI 3(c)","NLP; seq2seq","raw/polish-oai-2025-sparse/3_etap/3_stylizacja_tlumaczen","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/3_etap/3_stylizacja_tlumaczen","downloaded_sparse","unknown","medium","Seq2seq/fine-tuning style task."
"poland_2025_data_prototypes","Polish AI Olympiad GitHub","Poland","2025","final","Data Prototypes","ML; data selection","CEOAI 2(d); CEOAI 3(c)","ML","raw/polish-oai-2025-sparse/3_etap/4_prototypy_danych","https://github.com/OlimpiadaAI/II-OlimpiadaAI/tree/main/3_etap/4_prototypy_danych","downloaded_sparse","unknown","medium","Representative/diverse sample selection."
"poland_2026_repo","Polish AI Olympiad GitHub","Poland","2026","stage 1","3rd Polish AI Olympiad repository","mixed","CEOAI 3; CEOAI 4; CEOAI 5","CV; NLP; audio","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","medium","Sparse clone; use non-audio tasks for CEOAI."
"poland_2026_convolutional_filters","Polish AI Olympiad GitHub","Poland","2026","stage 1","Convolutional Filters","CV","CEOAI 5(a); CEOAI 3(c)","CV","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","high","Good CV fundamentals sample."
"poland_2026_multilabel","Polish AI Olympiad GitHub","Poland","2026","stage 1","Multi-label Classification","CV","CEOAI 5(a); CEOAI 5(b)","CV","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","high","Multi-label image classification."
"poland_2026_semantic_changes","Polish AI Olympiad GitHub","Poland","2026","stage 1","Semantic Changes","NLP; embeddings","CEOAI 4(b); CEOAI 4(c)","NLP","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","medium","Embedding semantics task."
"poland_2026_multispectral_segmentation","Polish AI Olympiad GitHub","Poland","2026","stage 1","Multispectral Segmentation","CV","CEOAI 5(a); CEOAI 5(c)","CV; segmentation","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","medium","Advanced segmentation."
"poland_2026_whisper_or_shout","Polish AI Olympiad GitHub","Poland","2026","stage 1","Whisper or Shout","audio","not_ceoai","Audio","raw/polish-oai-2026-sparse","https://github.com/OlimpiadaAI/III-OlimpiadaAI","downloaded_sparse","unknown","low","Audio excluded from CEOAI sprint."
