id,c,mask
"1026","5371, 643, 455, 2069, 253, 15336, 253, 369, 1355, 13, 342, 247, 4474, 4394, 6226, 326, 404, 2210, 6985, 326, 342, 779, 2335, 598, 253, 15, 253, 4394, 7285, 1930, 326, 15, 253, 588, 14537, 21487, 285, 368, 16338, 2206, 875, 5734, 253, 6985, 285, 253, 3369, 359, 835, 5139, 2013, 90, 6225, 342, 253, 3523, 41823, 352, 1335, 432, 9369, 13661, 1411, 521, 7623, 15, 368, 15, 1616, 1833, 17245, 598, 1614, 1411, 253, 10319, 13, 6985, 285, 751, 41778, 368, 858, 512, 15, 344, 16470, 253, 253, 643, 2069, 8013, 15, 359, 476, 626, 16846, 1339, 326, 31261, 5108, 281, 11792, 2994, 15, 253, 29564, 285, 767, 637, 2692, 273, 253, 14445, 326, 2918, 352, 441, 598, 752, 24145, 13155, 15, 344, 253, 6497, 277, 281, 247, 22813, 1899, 1911, 327, 447, 253, 5024, 273, 253, 513, 6985, 15, 15","1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0"
"1027","74, 1439, 760, 588, 452, 642, 891, 320, 1895, 1469, 949, 342, 253, 2571, 13265, 5018, 13, 1907, 2176, 7231, 533, 13379, 891, 1833, 594, 320, 4028, 1048, 347, 275, 436, 352, 2506, 626, 1607, 13616, 327, 6698, 253, 4852, 625, 273, 7208, 2571, 13, 533, 352, 275, 816, 3589, 626, 1633, 1340, 326, 891, 3078, 281, 281, 1691, 3540, 619, 619, 6009, 275, 15, 891, 1849, 4780, 1620, 644, 3095, 665, 476, 285, 9645, 314, 281, 1056, 2119, 326, 1691, 891, 619, 6009, 285, 4517, 715, 1353, 1633, 326, 2506, 21006, 512, 626, 1663, 273, 1646, 281, 2226, 15, 533, 751, 891, 753, 13, 253, 891, 5018, 1353, 4751, 5514, 15, 30782, 891, 4266, 281, 2970, 31864, 323, 1175, 13, 285, 1833, 604, 320, 326, 2097, 2119, 281, 3630, 969, 326, 891, 878, 10873, 281, 1089, 247, 672, 891, 1663, 747, 6009, 275, 755, 7122, 1469, 285, 9596, 327, 253, 13, 13265, 3213, 2086, 840, 891, 1353, 1469, 281, 513, 352, 15, 15","0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0"
"1028","249, 274, 19674, 387, 747, 253, 26689, 36050, 13, 13, 597, 327, 2206, 253, 6150, 327, 253, 5004, 5004, 13, 6179, 13, 253, 323, 253, 15688, 27304, 2774, 15, 574, 6312, 616, 1048, 9455, 253, 36050, 13, 15, 285, 253, 6150, 24914, 2067, 2607, 497, 3622, 597, 6537, 275, 247, 574, 2316, 417, 644, 12401, 10098, 2080, 562, 253, 281, 6150, 13, 275, 3402, 5213, 12685, 15, 597, 29433, 273, 10654, 15, 1943, 387, 14584, 15, 6864, 13, 12646, 273, 6215, 562, 6887, 273, 15, 2970, 253, 8184, 273, 667, 11811, 13234, 15, 275, 285, 562, 4541, 760, 369, 1774, 15, 20219, 20183, 4234, 281, 1060, 3395, 48625, 20219, 275, 616, 8905, 17596, 9666, 12471, 15, 8905, 10194, 285, 9192, 1951, 13791, 15, 6891, 8325, 5511, 13, 13978, 281, 1698, 12060, 21025, 29388, 15, 6571, 1110, 15, 31684, 7808, 497, 597, 275, 253, 5412, 1160, 616, 4329, 11434, 15, 1039, 253, 13, 4105, 4329, 11434, 44251, 342, 253, 15, 835, 253, 5101, 18476, 285, 1904, 626, 1612, 272, 672, 28189, 3309, 594, 43925, 15, 15","0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0"
"1029","783, 2201, 1542, 313, 395, 20854, 1650, 10, 816, 6787, 13, 13681, 6481, 3534, 323, 521, 5343, 18134, 414, 11815, 13681, 403, 6481, 434, 13399, 285, 17903, 275, 521, 1262, 2113, 10610, 789, 13, 21698, 10364, 13, 278, 68, 253, 18499, 737, 273, 304, 637, 15, 275, 263, 512, 266, 436, 1984, 13, 13, 3054, 326, 2255, 13681, 6481, 9125, 403, 1679, 326, 16323, 6782, 685, 1821, 704, 10798, 273, 954, 285, 326, 3417, 43117, 13318, 13, 23198, 285, 253, 2872, 273, 37620, 13, 3416, 310, 1097, 247, 2238, 35717, 273, 285, 326, 6782, 10798, 1429, 403, 625, 5606, 549, 1051, 1031, 7269, 352, 310, 38342, 685, 10753, 15, 344, 49294, 345, 502, 21015, 326, 1580, 604, 5343, 5606, 33127, 387, 2255, 247, 452, 9945, 17357, 581, 2281, 15585, 685, 5086, 5606, 3236, 13, 2934, 247, 273, 3416, 253, 369, 275, 17718, 33456, 591, 785, 13, 247, 331, 16218, 295, 290, 637, 964, 436, 9579, 272, 1859, 273, 2255, 9086, 1318, 5195, 281, 13681, 281, 6481, 434, 253, 8249, 285, 11073, 31915, 1533, 3927, 15, 818, 15","0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0"
"1030","2858, 672, 352, 39799, 13, 891, 2427, 281, 3249, 281, 479, 13, 966, 6523, 2393, 1110, 7615, 9365, 15, 891, 1904, 15105, 84, 479, 15, 352, 15105, 626, 84, 479, 971, 281, 326, 320, 891, 1904, 626, 16125, 3563, 327, 673, 342, 594, 512, 891, 619, 7402, 47527, 15, 598, 359, 1146, 10345, 627, 4791, 2909, 626, 1078, 253, 1270, 966, 3053, 3858, 13, 15, 2167, 15, 326, 275, 35058, 958, 13, 359, 984, 497, 12345, 891, 3858, 15, 1309, 776, 1740, 1107, 9239, 6179, 2366, 15, 13, 6179, 891, 6311, 326, 310, 253, 12504, 383, 2181, 326, 1531, 515, 6569, 347, 281, 479, 597, 13, 984, 1537, 891, 320, 13, 1053, 597, 626, 871, 752, 497, 1175, 952, 15, 45304, 7116, 285, 512, 13, 534, 281, 513, 15, 512, 369, 10084, 619, 323, 3858, 452, 2168, 20981, 479, 13, 594, 4130, 984, 1475, 891, 1353, 417, 310, 45304, 747, 13, 7116, 2167, 891, 513, 923, 387, 512, 15, 247, 352, 369, 7615, 1175, 2454, 1060, 285, 627, 13, 533, 281, 923, 326, 891, 1053, 626, 690, 17341, 952, 2312, 281, 731, 564, 15, 952, 562, 273, 2312, 281, 1016, 643, 15, 9403, 368, 16125, 616, 1039, 323, 672, 368, 8416, 634, 854, 394, 33644, 616, 13, 533, 12958, 627, 403, 952, 15, 891, 1475, 665, 1472, 5082, 275, 616, 1249, 626, 394, 33644, 2167, 13, 13, 891, 1620, 534, 310, 616, 1390, 4839, 452, 15, 597, 403, 15, 8261, 342, 352, 13, 4130, 752, 434, 253, 310, 1127, 15","1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0"
"1031","3229, 3784, 687, 1136, 415, 1063, 1209, 253, 331, 266, 4379, 22385, 15323, 896, 434, 15, 7162, 13, 344, 344, 4541, 369, 4453, 987, 1024, 285, 19333, 247, 2159, 1509, 41927, 521, 562, 281, 480, 2487, 8569, 1808, 15, 5351, 15, 480, 2487, 310, 642, 4352, 581, 4745, 533, 41482, 253, 18915, 369, 9861, 15, 344, 16424, 672, 598, 17392, 281, 1299, 253, 6312, 6818, 285, 247, 12176, 3304, 14327, 15, 1264, 15789, 344, 310, 1509, 1663, 323, 247, 22443, 327, 253, 806, 1132, 8577, 432, 2717, 715, 1633, 15, 660, 3428, 27316, 12506, 15, 331, 13, 266, 3343, 13, 4379, 480, 2959, 2487, 556, 253, 8386, 3663, 253, 2727, 4023, 285, 9703, 281, 387, 253, 1408, 562, 15342, 253, 8886, 285, 1379, 285, 17392, 616, 1299, 14512, 556, 12372, 15, 326, 310, 275, 247, 31518, 25205, 1614, 15, 846, 247, 273, 3394, 6264, 15, 352, 310, 2740, 275, 347, 604, 10380, 247, 534, 642, 581, 28401, 369, 275, 253, 1113, 4845, 327, 753, 247, 3159, 331, 266, 13, 331, 4379, 275, 266, 253, 1390, 1643, 4379, 2335, 2909, 273, 253, 436, 4023, 806, 2165, 15, 275, 891, 31518, 15, 717, 327, 417, 2119, 604, 891, 253, 476, 806, 2455, 4456, 1132, 247, 2285, 13, 10805, 597, 6337, 7419, 247, 2969, 3601, 594, 281, 253, 987, 4541, 15, 15","0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1"
"1032","601, 74, 2748, 512, 253, 9414, 281, 275, 3877, 4518, 326, 512, 273, 577, 15216, 313, 7815, 588, 6947, 512, 2369, 391, 1206, 13, 642, 278, 3373, 78, 10, 1157, 313, 83, 1206, 2583, 13, 327, 642, 278, 3373, 78, 10, 1157, 313, 26375, 2369, 391, 310, 760, 337, 1206, 13, 3451, 278, 891, 3373, 78, 10, 285, 313, 15, 83, 1206, 13, 70, 278, 3373, 78, 15, 3164, 10, 50276, 7483, 337, 296, 285, 760, 577, 337, 394, 273, 403, 2583, 6474, 13, 588, 253, 374, 755, 2109, 25262, 1977, 327, 26375, 285, 495, 15, 285, 275, 5784, 403, 10076, 417, 6474, 1293, 15, 642, 2408, 273, 24866, 390, 425, 292, 278, 1796, 588, 2794, 3373, 78, 313, 83, 1206, 13, 13, 253, 642, 278, 3373, 2583, 78, 588, 10, 10076, 285, 594, 516, 564, 80, 13, 352, 651, 281, 15067, 320, 278, 41067, 13, 1045, 673, 31160, 281, 3984, 670, 16108, 273, 313, 83, 4835, 1206, 257, 13, 13, 642, 278, 3373, 78, 10, 23885, 10076, 15, 760, 5301, 13, 875, 313, 16006, 2369, 3966, 285, 594, 3687, 391, 2408, 1206, 13, 642, 278, 3373, 78, 588, 10, 564, 275, 285, 8214, 313, 83, 26375, 1206, 751, 13, 278, 3373, 41201, 13, 78, 10, 15216, 310, 41236, 3966, 4217, 15, 15","0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1"
"1033","262, 249, 253, 8869, 273, 253, 36724, 285, 310, 760, 6149, 13, 1110, 665, 897, 616, 285, 253, 3960, 318, 13846, 273, 253, 281, 1908, 2360, 285, 1388, 13, 253, 285, 253, 11811, 8869, 285, 534, 15901, 665, 253, 26634, 281, 952, 434, 1705, 5649, 13, 285, 253, 1824, 534, 281, 512, 1240, 4709, 16965, 512, 1066, 432, 1240, 253, 8467, 407, 534, 344, 13, 326, 10316, 310, 253, 6149, 281, 1495, 672, 352, 369, 3846, 285, 660, 255, 1336, 13, 665, 3153, 670, 275, 2556, 352, 17268, 273, 1046, 2238, 281, 285, 253, 11962, 3884, 273, 253, 253, 19362, 13, 2805, 285, 321, 8, 266, 253, 16173, 13, 749, 665, 4887, 327, 253, 1498, 850, 4606, 875, 13926, 285, 6149, 13, 627, 403, 323, 7871, 253, 42062, 26787, 323, 952, 665, 273, 1388, 897, 285, 616, 10893, 2360, 15, 15, 512, 1240, 313, 12957, 436, 275, 9960, 255, 355, 247, 1643, 18927, 82, 34067, 4595, 17601, 10","0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1"
"1034","30730, 275, 247, 14510, 285, 22500, 19653, 69, 6035, 369, 13, 253, 9398, 2255, 271, 497, 9047, 407, 247, 41024, 924, 11131, 4797, 2112, 342, 617, 2502, 3405, 18628, 46993, 637, 7619, 15, 465, 1285, 342, 13, 327, 247, 253, 4076, 643, 439, 9367, 1133, 1481, 15, 13, 369, 6306, 13733, 816, 281, 253, 1669, 273, 253, 2316, 342, 253, 4618, 35932, 3416, 2927, 13, 13, 347, 604, 344, 13237, 617, 14287, 521, 3998, 1133, 369, 670, 281, 34667, 15, 891, 3543, 2119, 253, 285, 38871, 521, 3295, 9881, 273, 689, 253, 619, 25883, 2454, 273, 369, 617, 718, 15, 13373, 10155, 277, 6035, 432, 434, 7619, 13, 285, 891, 1904, 253, 626, 10135, 1014, 871, 323, 835, 760, 247, 2774, 13, 281, 703, 5248, 1691, 617, 2927, 896, 281, 779, 619, 285, 15944, 15, 41542, 1070, 15","0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0"
"1035","6050, 43314, 7244, 344, 574, 2717, 275, 281, 513, 533, 288, 1379, 12409, 564, 13, 30557, 80, 284, 15, 45731, 323, 2620, 1897, 521, 13, 11287, 1728, 651, 320, 1161, 2986, 3402, 584, 2971, 323, 4425, 281, 8416, 326, 4857, 344, 253, 574, 3053, 1735, 1740, 15, 1897, 15, 327, 344, 2183, 778, 253, 2021, 1638, 1161, 3253, 2971, 50229, 247, 1175, 285, 1669, 6215, 562, 323, 253, 806, 253, 629, 670, 673, 15, 253, 672, 660, 344, 357, 447, 15, 344, 3260, 8523, 12247, 651, 320, 10090, 2927, 4030, 285, 3164, 49638, 327, 253, 779, 372, 323, 35272, 3551, 441, 84, 6673, 8498, 949, 352, 391, 15, 295, 1403, 342, 1342, 1157, 12060, 9830, 15, 533, 1161, 2971, 671, 3260, 323, 247, 6909, 247, 958, 326, 2243, 254, 651, 755, 33352, 16060, 13, 13, 278, 253, 2804, 651, 7863, 1979, 273, 4373, 2254, 47602, 253, 13, 11179, 285, 39574, 480, 1078, 2275, 651, 779, 1160, 452, 253, 253, 4857, 4707, 327, 35731, 521, 6174, 14203, 1462, 275, 521, 2316, 13, 285, 344, 858, 417, 971, 281, 15, 1246, 247, 344, 812, 417, 2868, 344, 10669, 651, 326, 651, 320, 2847, 667, 273, 731, 281, 31474, 327, 7664, 1633, 594, 13943, 670, 779, 15, 15","0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1"
"1036","284, 8965, 783, 2427, 13, 352, 8458, 369, 10299, 90, 480, 2217, 493, 1070, 15, 597, 1097, 3597, 1892, 417, 3345, 281, 7277, 352, 281, 253, 439, 4660, 606, 13, 1016, 16926, 2403, 697, 15, 1039, 627, 369, 642, 281, 697, 1524, 3177, 2303, 387, 247, 10014, 7731, 15, 17355, 15, 562, 439, 606, 16926, 8965, 651, 13, 347, 320, 32420, 1977, 597, 4395, 13, 1119, 342, 10183, 616, 285, 18144, 275, 616, 1113, 651, 956, 731, 2112, 253, 2746, 15, 1060, 627, 6406, 497, 13, 13756, 8783, 273, 30006, 281, 9421, 1056, 13, 8783, 697, 273, 1039, 281, 4302, 253, 15, 597, 37984, 1097, 32041, 15, 597, 3534, 352, 4951, 1977, 598, 13, 533, 19460, 2469, 253, 285, 5471, 12293, 15, 604, 2439, 275, 597, 2914, 15, 497, 1469, 281, 6947, 17950, 512, 616, 673, 616, 3981, 686, 262, 434, 3361, 253, 1113, 369, 6726, 281, 417, 439, 606, 3523, 16926, 8, 840, 616, 13, 4852, 497, 285, 597, 1469, 281, 497, 320, 327, 1077, 616, 28714, 1039, 15, 6296, 15","1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1"
"1037","48266, 6681, 74, 717, 310, 275, 2819, 2145, 3579, 281, 37622, 6681, 15, 891, 751, 15496, 1066, 1897, 253, 13, 1897, 285, 1919, 891, 37622, 1335, 6681, 15, 359, 878, 281, 4489, 37622, 452, 436, 6681, 10262, 323, 1652, 619, 40400, 2021, 15, 891, 1353, 4697, 342, 247, 417, 2119, 16463, 285, 5313, 273, 40400, 12331, 752, 281, 281, 755, 352, 4130, 15, 2568, 327, 15, 891, 253, 1053, 626, 4450, 452, 352, 247, 2257, 2296, 273, 1897, 1919, 2583, 13, 37622, 533, 891, 6681, 943, 452, 285, 2217, 1016, 281, 4489, 4130, 1388, 13, 368, 275, 619, 2021, 1633, 476, 15, 3630, 891, 849, 3524, 594, 13, 1142, 667, 1897, 627, 403, 1919, 37622, 1576, 6681, 15, 1051","0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0"
